section,day,subject,start_time,end_time,room,professor
C1,Thu,MPWS,08:30,10:30,DG-06,BD
C1,Thu,CAMD,11:30,12:30,CG-09,DP
C1,Thu,M,13:30,14:30,CG-09,YS
C2,Thu,CAMD,08:30,10:30,CF-01,DP
C2,Thu,CAMD,11:30,12:30,CG-09,DP
C2,Thu,M,13:30,14:30,CG-09,YS
C1,Fri,CAMD,08:30,10:30,CF-01,DP
C1,Fri,SWAYAM/NPTEL,10:30,12:30,,
C1,Fri,PH,13:30,14:30,CG-09,MP
C2,Fri,MPWS,08:30,10:30,DG-06,MPS
C2,Fri,LG LAB,10:30,12:30,CS-22,MP
C2,Fri,PH,13:30,14:30,CG-09,MP
C1,Sat,BME,08:30,09:30,CF-06,DP
C1,Sat,BEE,09:30,10:30,CF-06,NKK
C1,Sat,M,10:30,11:30,CF-06,YS
C1,Sat,Sports-I,11:30,12:30,,
C1,Sat,PH,13:30,14:30,CF-03,PKS
C2,Sat,BME,08:30,09:30,CF-06,DP
C2,Sat,BEE,09:30,10:30,CF-06,NKK
C2,Sat,M,10:30,11:30,CF-06,YS
C2,Sat,Sports-I,11:30,12:30,,
C2,Sat,PH,13:30,14:30,CF-03,PKS
D1,Mon,CSK,09:30,10:30,CT-06,DS
D1,Mon,PH,10:30,11:30,CF-06,NS
D1,Mon,CAMD,12:30,13:30,CF-02,SPS
D2,Mon,CSK,09:30,10:30,CT-06,DS
D2,Mon,PH,10:30,11:30,CF-06,NS
D2,Mon,MPWS,12:30,13:30,DG-06,BB
D1,Tue,M,08:30,09:30,CF-06,TG
D1,Tue,PH,09:30,10:30,CF-06,NS
D1,Tue,Sports-I,10:30,11:30,,
D1,Tue,MPWS,12:30,14:30,DG-06,AS
D1,Tue,CAMD,14:30,15:30,CF-06,SPS
D2,Tue,M,08:30,09:30,CF-06,TG
D2,Tue,PH,09:30,10:30,CF-06,NS
D2,Tue,Sports-I,10:30,11:30,,
D2,Tue,MPWS,12:30,14:30,DG-06,AS
D2,Tue,CAMD,14:30,15:30,CF-06,SPS
D1,Wed,M,08:30,09:30,CF-06,TG
D1,Wed,PH,09:30,10:30,CF-06,GKD
D1,Wed,EE LAB,10:30,12:30,BLG-17,V Sh
D2,Wed,M,08:30,09:30,CF-06,TG
D2,Wed,PH,09:30,10:30,CF-06,GKD
D2,Wed,PH LAB,10:30,12:30,CF-10,MP
D1,Thu,CSK,09:30,10:30,CF-03,DS
D1,Thu,PH LAB,10:30,12:30,CF-10,SB
D1,Thu,BME,14:30,15:30,CF-03,SPS
D2,Thu,CSK,09:30,10:30,CF-03,DS
D2,Thu,EE LAB,10:30,12:30,BLG-17,V Sh
D2,Thu,BME,14:30,15:30,CF-03,SPS
D1,Fri,M,08:30,09:30,CF-06,TG
D1,Fri,BEE,09:30,10:30,CF-06,NKK
D1,Fri,BME,10:30,11:30,CG-08,SPS
D1,Fri,SWAYAM/NPTEL,13:30,15:30,,
D2,Fri,M,08:30,09:30,CF-06,TG
D2,Fri,BEE,09:30,10:30,CF-06,NKK
D2,Fri,BME,10:30,11:30,CG-08,SPS
D2,Fri,LG LAB,13:30,15:30,CS-23,RC
D1,Sat,PH,08:30,09:30,CF-07,SKD
D1,Sat,M,09:30,10:30,CF-07,TG
D1,Sat,BEE,10:30,11:30,CF-13,NKK
D1,Sat,LG LAB,13:30,14:30,CS-22,DS
D2,Sat,PH,08:30,09:30,CF-07,SKD
D2,Sat,M,09:30,10:30,CF-07,TG
D2,Sat,BEE,10:30,11:30,CF-13,NKK
D2,Sat,SWAYAM/NPTEL,13:30,15:30,,
E1,Mon,PH LAB,08:30,10:30,CF-10,PKS
E1,Mon,M,11:30,12:30,CF-07,RM
E1,Mon,PH,12:30,13:30,CF-07,MP
E2,Mon,EE LAB,08:30,10:30,BLG-17,VR
E2,Mon,M,11:30,12:30,CF-07,RM
E2,Mon,PH,12:30,13:30,CF-07,MP
E1,Tue,EE LAB,08:30,10:30,BLG-17,VR
E1,Tue,BEE,09:30,10:30,CS-05,VR
E1,Tue,M,10:30,11:30,CS-05,RM
E2,Tue,PH LAB,08:30,10:30,CF-10,PKS
E2,Tue,BEE,09:30,10:30,CS-05,VR
E2,Tue,M,10:30,11:30,CS-05,RM
E1,Wed,M,08:30,09:30,CF-07,RM
E1,Wed,PH,09:30,10:30,CF-07,MP
E1,Wed,MPWS,12:30,14:30,DG-04,BB
E1,Wed,CAMD,14:30,15:30,DS-08,HCN
E2,Wed,M,08:30,09:30,CF-07,RM
E2,Wed,PH,09:30,10:30,CF-07,MP
E2,Wed,CAMD,12:30,14:30,DS-08,HCN
E2,Wed,CAMD,14:30,15:30,CF-07,HCN
E1,Thu,PH,09:30,10:30,CF-06,PKS
E1,Thu,M,10:30,11:30,CT-08,RM
E1,Thu,CAMD,12:30,14:30,DG-04,AS
E2,Thu,PH,09:30,10:30,CF-06,PKS
E2,Thu,M,10:30,11:30,CT-08,RM
E2,Thu,MPWS,12:30,14:30,DG-04,AS
E1,Fri,LG LAB,08:30,10:30,CS-23,SHB
E1,Fri,CSK,10:30,11:30,CF-07,RC
E1,Fri,BME,10:30,11:30,CF-07,AB
E1,Fri,PH,11:30,12:30,CF-06,PKS
E2,Fri,LG LAB,08:30,09:30,CS-23,SHB
E2,Fri,SWAYAM/NPTEL,09:30,10:30,,
E2,Fri,CSK,09:30,10:30,CF-07,RC
E2,Fri,BME,10:30,11:30,CF-07,AB
E2,Fri,PH,10:30,11:30,CF-06,PKS
E1,Sat,SWAYAM/NPTEL,09:30,10:30,,
E1,Sat,LG LAB,09:30,10:30,CS-23,SHB
E1,Sat,CSK,09:30,10:30,CT-13,RC
E1,Sat,PH,10:30,11:30,CT-13,PKS
E1,Sat,BME,11:30,12:30,CT-06,AB
E1,Sat,Sports-I,11:30,12:30,,
E2,Sat,SWAYAM/NPTEL,09:30,10:30,,
E2,Sat,LG LAB,09:30,10:30,CS-23,SHB
E2,Sat,CSK,09:30,10:30,CT-13,RC
E2,Sat,PH,10:30,11:30,CT-13,PKS
E2,Sat,BME,11:30,12:30,CT-06,AB
E2,Sat,Sports-I,11:30,12:30,,
F1,Mon,BME,08:30,09:30,CF-03,AP
F1,Mon,CSK,10:30,11:30,CF-03,RC
F1,Mon,PH,11:30,12:30,CF-06,SB
F2,Mon,BME,08:30,09:30,CF-03,AP
F2,Mon,CSK,10:30,11:30,CF-03,RC
F2,Mon,PH,11:30,12:30,CF-06,SB
F1,Tue,PH,09:30,10:30,CF-07,SB
F1,Tue,BEE,10:30,11:30,CF-07,N Ag
F1,Tue,M,11:30,12:30,CF-07,SKB
F1,Tue,SWAYAM/NPTEL,14:30,15:30,,
F1,Tue,LG LAB,14:30,15:30,CS-23,RC
F2,Tue,PH,09:30,10:30,CF-07,SB
F2,Tue,BEE,10:30,11:30,CF-07,N Ag
F2,Tue,M,11:30,12:30,CF-07,SKB
F2,Tue,SWAYAM/NPTEL,14:30,15:30,,
F2,Tue,LG LAB,14:30,15:30,CS-23,RC
F1,Wed,EE LAB,08:30,10:30,BLG-17,N Ag
F1,Wed,PH LAB,10:30,12:30,CF-11,SB
F1,Wed,LG LAB,14:30,15:30,CS-23,RC
F2,Wed,EE LAB,08:30,10:30,BLG-17,N Ag
F2,Wed,PH LAB,10:30,12:30,CF-11,SB
F2,Wed,LG LAB,14:30,15:30,CS-23,RC
F1,Thu,PH LAB,08:30,10:30,CF-10,SKD
F1,Thu,EE LAB,10:30,12:30,BLG-17,N Ag
F1,Thu,M,11:30,12:30,CF-06,SKB
F1,Thu,SWAYAM/NPTEL,14:30,15:30,,
F2,Thu,PH LAB,08:30,10:30,CF-10,SKD
F2,Thu,EE LAB,10:30,12:30,BLG-17,N Ag
F2,Thu,M,11:30,12:30,CF-06,SKB
F2,Thu,SWAYAM/NPTEL,14:30,15:30,,
F1,Fri,PH,08:30,09:30,CF-13,SB
F1,Fri,M,09:30,10:30,CF-13,SKB
F1,Fri,CAMD,11:30,12:30,CF-13,AP
F1,Fri,MPWS,13:30,14:30,DG-06,BB
F1,Fri,CAMD,13:30,14:30,CF-01,AP
F2,Fri,PH,08:30,09:30,CF-13,SB
F2,Fri,M,09:30,10:30,CF-13,SKB
F2,Fri,CAMD,11:30,12:30,CF-13,AP
F2,Fri,MPWS,13:30,14:30,DG-06,BB
F2,Fri,CAMD,13:30,14:30,CF-01,AP
F1,Sat,BME,08:30,09:30,CF-13,AP
